name,time,Altitude,Latitude,Longitude,PlaneID,TimeLag,host,region
gps,1634224978999000000,293.1289978027344,38.13097381591797,-84.48771667480469,0013A20041D1CB94,-1.286972999572754,,
gps,1634224979999000000,293.0840148925781,38.131019592285156,-84.48771667480469,0013A20041D1CB94,-1.279139518737793,,
gps,1634224980999000000,293.0270080566406,38.131046295166016,-84.48771667480469,0013A20041D1CB94,-1.270993709564209,,
gps,1634224981999000000,292.92401123046875,38.13105773925781,-84.48772430419922,0013A20041D1CB94,-1.2802274227142334,,
gps,1634224982999000000,293.0780029296875,38.13105773925781,-84.48774719238281,0013A20041D1CB94,-1.287219524383545,,
gps,1634224983999000000,293.1470031738281,38.13106155395508,-84.48779296875,0013A20041D1CB94,-1.2640752792358398,,
gps,1634224984999000000,293.24798583984375,38.131072998046875,-84.48786163330078,0013A20041D1CB94,-1.240312099456787,,
gps,1634224985999000000,293.21600341796875,38.1310920715332,-84.4879379272461,0013A20041D1CB94,0.2867245674133301,,
gps,1634224986999000000,293.30999755859375,38.1311149597168,-84.4880142211914,0013A20041D1CB94,-0.4231441020965576,,
gps,1634224987999000000,293.35198974609375,38.13113784790039,-84.48809051513672,0013A20041D1CB94,-1.2327930927276611,,
gps,1634224988999000000,293.3800048828125,38.13116455078125,-84.48817443847656,0013A20041D1CB94,-1.2885105609893799,,
gps,1634224989999000000,293.4070129394531,38.131187438964844,-84.4882583618164,0013A20041D1CB94,-1.296651840209961,,
gps,1634224990999000000,293.4200134277344,38.13121032714844,-84.48834228515625,0013A20041D1CB94,-1.2705681324005127,,
gps,1634224991999000000,293.4989929199219,38.1312370300293,-84.4884262084961,0013A20041D1CB94,-1.2808587551116943,,
gps,1634224992999000000,293.49700927734375,38.13125991821289,-84.48851013183594,0013A20041D1CB94,-1.273092269897461,,
gps,1634224993999000000,293.4309997558594,38.131282806396484,-84.48859405517578,0013A20041D1CB94,-1.2850086688995361,,
gps,1634224994999000000,293.39300537109375,38.131309509277344,-84.48867797851562,0013A20041D1CB94,-1.2726914882659912,,
gps,1634224995999000000,293.4169921875,38.13133239746094,-84.48876953125,0013A20041D1CB94,-1.2823469638824463,,
gps,1634224996999000000,293.50201416015625,38.13135528564453,-84.48885345458984,0013A20041D1CB94,-1.2900745868682861,,
gps,1634224997999000000,293.6239929199219,38.131378173828125,-84.48893737792969,0013A20041D1CB94,-1.2818419933319092,,
gps,1634224998999000000,293.7439880371094,38.131404876708984,-84.48902130126953,0013A20041D1CB94,-1.2576239109039307,,
gps,1634224999999000000,293.7279968261719,38.13142776489258,-84.48910522460938,0013A20041D1CB94,-1.282214641571045,,
gps,1634225000999000000,293.864013671875,38.13145065307617,-84.48919677734375,0013A20041D1CB94,-0.3612480163574219,,
gps,1634225001999000000,293.8840026855469,38.131473541259766,-84.4892807006836,0013A20041D1CB94,1.3561866283416748,,
gps,1634225003000000000,293.843994140625,38.131500244140625,-84.48936462402344,0013A20041D1CB94,1.3810596466064453,,
gps,1634225004000000000,293.8089904785156,38.13152313232422,-84.48945617675781,0013A20041D1CB94,0.5896124839782715,,
gps,1634225005000000000,293.7590026855469,38.13154602050781,-84.48954010009766,0013A20041D1CB94,-0.219834566116333,,
gps,1634225006000000000,293.71600341796875,38.13157272338867,-84.4896240234375,0013A20041D1CB94,-0.46484994888305664,,
gps,1634225007000000000,293.7099914550781,38.131595611572266,-84.48970794677734,0013A20041D1CB94,-0.5084912776947021,,
gps,1634225008000000000,293.6960144042969,38.13161849975586,-84.48979187011719,0013A20041D1CB94,-1.300612449645996,,
gps,1634225009000000000,293.75299072265625,38.13164138793945,-84.48988342285156,0013A20041D1CB94,-1.2927227020263672,,
gps,1634225010000000000,293.739013671875,38.13166809082031,-84.4899673461914,0013A20041D1CB94,0.024106740951538086,,
gps,1634225011000000000,293.6990051269531,38.131690979003906,-84.49005126953125,0013A20041D1CB94,-0.7931191921234131,,
gps,1634225012000000000,293.6210021972656,38.1317138671875,-84.4901351928711,0013A20041D1CB94,-1.2799293994903564,,
gps,1634225013000000000,293.59698486328125,38.13174057006836,-84.49022674560547,0013A20041D1CB94,-1.2942683696746826,,
gps,1634225014000000000,293.5639953613281,38.13176345825195,-84.49030303955078,0013A20041D1CB94,-1.299178123474121,,
gps,1634225015000000000,293.5150146484375,38.131778717041016,-84.49036407470703,0013A20041D1CB94,-1.292428970336914,,
gps,1634225016000000000,293.4949951171875,38.13179016113281,-84.49040222167969,0013A20041D1CB94,-1.2837443351745605,,
gps,1634225017000000000,293.6080017089844,38.13179397583008,-84.49041748046875,0013A20041D1CB94,-1.2915170192718506,,
gps,1634225018000000000,293.60699462890625,38.131778717041016,-84.49041748046875,0013A20041D1CB94,-1.2858924865722656,,
gps,1634225019000000000,293.5870056152344,38.131744384765625,-84.49042510986328,0013A20041D1CB94,-1.2776403427124023,,
gps,1634225020000000000,293.49798583984375,38.13169479370117,-84.49044799804688,0013A20041D1CB94,-1.3021059036254883,,
gps,1634225021000000000,293.44000244140625,38.13163375854492,-84.490478515625,0013A20041D1CB94,-1.2925989627838135,,
gps,1634225022000000000,293.4219970703125,38.13157272338867,-84.49051666259766,0013A20041D1CB94,-1.2855327129364014,,
gps,1634225023000000000,293.3869934082031,38.13151550292969,-84.49055480957031,0013A20041D1CB94,-1.2946228981018066,,
gps,1634225024000000000,293.36700439453125,38.13145446777344,-84.49059295654297,0013A20041D1CB94,-1.3012487888336182,,
gps,1634225025000000000,293.3789978027344,38.13139724731445,-84.49063110351562,0013A20041D1CB94,-1.2939341068267822,,
gps,1634225026000000000,293.3070068359375,38.1313362121582,-84.49066162109375,0013A20041D1CB94,-1.2876462936401367,,
gps,1634225027000000000,293.2359924316406,38.13127136230469,-84.4906997680664,0013A20041D1CB94,-0.6066915988922119,,
gps,1634225028000000000,293.1960144042969,38.13121032714844,-84.49073791503906,0013A20041D1CB94,-0.6313121318817139,,
gps,1634225029000000000,293.1629943847656,38.13114547729492,-84.49077606201172,0013A20041D1CB94,-1.294156789779663,,
gps,1634225030000000000,293.25799560546875,38.13107681274414,-84.49081420898438,0013A20041D1CB94,-1.2880332469940186,,
gps,1634225031000000000,293.3689880371094,38.131011962890625,-84.49085235595703,0013A20041D1CB94,-1.2957682609558105,,
gps,1634225032000000000,293.54400634765625,38.13094711303711,-84.49089050292969,0013A20041D1CB94,-1.2883093357086182,,
gps,1634225033000000000,293.4909973144531,38.130882263183594,-84.49092864990234,0013A20041D1CB94,-1.2955152988433838,,
